Date,Open,High,Low,Close,Volume,Chg%
1/1/2020,71.365,71.377,71.225,71.228,1160,-0.18%
1/2/2020,71.235,71.408,71.235,71.35,4630,0.17%
1/3/2020,71.61,71.844,71.52,71.77,7490,0.59%
1/6/2020,72.011,72.123,71.834,71.867,7440,0.14%
1/7/2020,71.765,71.923,71.67,71.845,6690,-0.03%
1/8/2020,71.954,72.114,71.466,71.51,7400,-0.47%
1/9/2020,71.51,71.544,71.134,71.21,7000,-0.42%
1/10/2020,71.24,71.26,70.848,70.96,7390,-0.35%
1/13/2020,70.805,70.945,70.71,70.71,6160,-0.35%
1/14/2020,70.72,70.975,70.72,70.85,6810,0.20%
1/15/2020,71,71.023,70.682,70.72,5320,-0.18%
1/16/2020,70.775,71.007,70.775,70.978,6300,0.36%
1/17/2020,70.953,71.099,70.933,71.079,6690,0.14%
1/20/2020,71.07,71.16,71.01,71.04,5070,-0.05%
1/21/2020,71.19,71.25,71.121,71.17,3970,0.18%
1/22/2020,71.18,71.265,71.076,71.08,5630,-0.13%
1/23/2020,71.19,71.465,71.169,71.4,6190,0.45%
1/24/2020,71.34,71.371,71.22,71.33,3390,-0.10%
1/27/2020,71.475,71.52,71.373,71.45,5000,0.17%
1/28/2020,71.432,71.432,71.2,71.2,6620,-0.35%
1/29/2020,71.24,71.411,71.165,71.31,7100,0.15%
1/30/2020,71.42,71.66,71.39,71.55,3410,0.34%
1/31/2020,71.575,71.578,71.294,71.555,8250,0.01%
2/3/2020,71.523,71.653,71.268,71.324,7480,-0.32%
2/4/2020,71.215,71.297,71.09,71.115,6650,-0.29%
2/5/2020,71.11,71.3,71.11,71.19,4240,0.11%
2/6/2020,71.181,71.3,71.106,71.225,6370,0.05%
2/7/2020,71.26,71.538,71.213,71.515,6210,0.41%
2/10/2020,71.4,71.457,71.285,71.29,8310,-0.31%
2/11/2020,71.235,71.33,71.179,71.285,6170,-0.01%
2/12/2020,71.212,71.391,71.212,71.306,5720,0.03%
2/13/2020,71.36,71.511,71.254,71.33,4530,0.03%
2/14/2020,71.294,71.597,71.272,71.528,6800,0.28%
2/17/2020,71.43,71.507,71.26,71.34,5360,-0.26%
2/18/2020,71.415,71.611,71.375,71.585,4960,0.34%
2/19/2020,71.573,71.6,71.452,71.6,290,0.02%
2/20/2020,71.735,71.82,71.53,71.68,4760,0.11%
2/21/2020,71.665,72.056,71.665,71.88,160,0.28%
2/24/2020,71.915,72.015,71.775,71.935,4460,0.08%
2/25/2020,71.87,71.92,71.611,71.82,4830,-0.16%
2/26/2020,71.833,71.873,71.532,71.58,5630,-0.33%
2/27/2020,71.645,71.704,71.545,71.655,5350,0.10%
2/28/2020,71.755,72.574,71.755,72.539,6590,1.23%
3/2/2020,72.52,72.954,72.028,72.882,6080,0.47%
3/3/2020,72.48,73.397,72.44,73.05,6740,0.23%
3/4/2020,73.06,73.64,72.91,73.54,7570,0.67%
3/5/2020,73.517,73.564,73.044,73.507,1920,-0.04%
3/6/2020,73.873,74.073,73.529,74.004,1470,0.68%
